file_id,lexical_richness,syntactic_richness,semantic_accuracy_n,semantic_accuracy_v,semantic_accuracy_n_v,semantic_accuracy_c,semantic_richness_n,semantic_clarity_n,semantic_noise_n
0.1.1_混乱行至深处_0,5.102332985603015,2.1861254108870964,4.80188679245283,9.78,7.71875,7.740331491712707,0.13520408163265302,0.07139214686384497,30.319820402670658
0.1.1_混乱行至深处_1,5.045488810734541,2.2021606350586316,4.086956521739131,9.180722891566266,7.096085409252669,7.412658227848102,0.14465408805031446,0.05567632850241545,10.369808667617368
0.1.2_漩涡止于中心_0,5.043007302479388,2.1897585872128142,4.283018867924528,9.232954545454545,7.372340425531915,7.797402597402598,0.12740384615384612,0.0499087035909921,7.202459636666284
0.1.3_宇宙安宁片刻_0,5.180859296121642,2.234289373527001,3.3304347826086955,8.714285714285714,6.351145038167939,7.155313351498638,0.15394912985274423,0.08156766687079,25.702935256871896
0.1.3_宇宙安宁片刻_1,5.175923489207909,2.160969534538098,4.037383177570093,7.724550898203593,6.2846715328467155,6.859416445623342,0.1440107671601615,0.042185877466251305,9.221586988224512
0.1.3_宇宙安宁片刻_2,4.8744565094881915,2.2114535667722475,4.527272727272727,11.37,8.941935483870967,8.74129353233831,0.13698630136986303,0.05487012987012986,6.169550022953849
0.1.3_宇宙安宁片刻_3,5.047367359819516,2.2036532134047757,4.242990654205608,8.848684210526315,6.945945945945946,7.461333333333333,0.13476070528967254,0.06744548286604361,10.019043558727912
0.1.4_模拟宇宙-始发测试_0,5.2016998127107925,2.227637872930897,3.9423076923076925,8.36111111111111,6.742957746478873,7.105849582172702,0.1418826739427012,0.09168472372697722,27.97128370527631
0.1.4_阴影从未离去_0,5.052736698851339,2.2043788847664323,3.5434782608695654,9.940860215053764,7.823741007194244,8.311224489795919,0.11111111111111113,0.056856187290969896,7.497334182721831
0.1.4_阴影从未离去_1,4.957360747015645,2.2249473727475357,3.8351648351648353,9.521505376344086,7.653429602888087,7.871313672922252,0.11016949152542375,0.0576923076923077,6.17729612405804
0.1.5_旅途正在继续_0,5.075658122960069,2.2154672738403183,5.022988505747127,9.66497461928934,8.242957746478874,8.228287841191067,0.10635696821515898,0.06351061757256966,12.005009968697632
0.1.5_旅途正在继续_1,5.034477898660822,2.214641275634903,3.742857142857143,8.955414012738853,6.866412213740458,7.189473684210526,0.13461538461538464,0.07182539682539682,19.71598206834988
0.1.5_旅途正在继续_2,5.082337797905326,2.2383069643493685,3.393617021276596,10.231182795698924,7.935714285714286,7.9838274932614555,0.12255541069100392,0.11071042192571223,24.75922129782434
0.1.5_旅途正在继续_3,5.128590452968531,2.2037551061617586,4.53125,8.692307692307692,7.184905660377359,7.229946524064171,0.1227621483375959,0.05776515151515152,17.90821602987647
0.1.5_旅途正在继续_4,5.159564291435936,2.1872013536050385,3.696078431372549,8.89375,6.870229007633588,7.354755784061696,0.13263979193758133,0.054738562091503275,14.720795231110142
0.1.5_旅途正在继续_5,5.1179800725901545,2.22885327556626,3.4910714285714284,7.970414201183432,6.185053380782918,6.4411764705882355,0.14698162729658792,0.1997929606625258,60.188653544170926
0.1.5_旅途正在继续_6,5.18109491708639,2.2293721863763207,2.880794701986755,6.973684210526316,4.933993399339934,5.391534391534392,0.21884057971014495,0.10638478519273224,26.66391213545087
0.1.5_旅途正在继续_7,5.133059903624269,2.256723343107974,3.9074074074074074,8.803571428571429,6.88768115942029,7.630252100840337,0.14555256064690023,0.06904761904761908,16.00894044438062
0.1.6_星间流浪_0,5.173282854889548,2.267425279838405,3.8421052631578947,9.344444444444445,7.7109375,7.801152737752162,0.09806451612903228,0.08639523336643494,18.945750232574614
1.1.10_已故去的必如雪崩再来_0,5.1133084474327894,2.233940138414156,5.442105263157894,9.588571428571429,8.12962962962963,8.261904761904763,0.11487303506650545,0.05875883739198742,15.044413095402017
1.1.10_已故去的必如雪崩再来_1,5.181445030509948,2.199073300492842,4.827586206896552,8.920454545454545,7.566539923954372,8.257142857142858,0.10532687651331721,0.03127112914131169,8.765531187740313
1.1.10_已故去的必如雪崩再来_2,5.035829586447787,2.1945869930956823,4.571428571428571,9.790123456790123,8.008130081300813,8.318840579710145,0.10344827586206896,0.05418719211822659,11.086464463558178
1.1.10_已故去的必如雪崩再来_3,5.080967128405438,2.260042878939098,5.464285714285714,9.630681818181818,8.284615384615385,8.497252747252746,0.10866752910737389,0.06446540880503145,13.128435705242817
1.1.11_躺在铁锈中_0,5.126376611641698,2.192427772152306,5.294117647058823,9.766871165644172,8.233870967741936,8.546703296703297,0.1098191214470284,0.01942110177404294,4.1596500670768926
1.1.12_腐烂或燃烧_0,5.102098087725681,2.242932520994326,4.593406593406593,10.479289940828401,8.419230769230769,8.644257703081232,0.11193111931119312,0.06153846153846154,17.822798929208805
1.1.12_腐烂或燃烧_1,5.245480780297242,2.215828464068331,4.290909090909091,8.641148325358852,7.141065830721003,7.444711538461538,0.1390644753476612,0.04138755980861244,10.729649744195203
1.1.12_腐烂或燃烧_10,5.166671845623572,2.194066400155284,4.247191011235955,9.634146341463415,7.739130434782608,7.816438356164384,0.12027027027027028,0.07426264044943819,27.9010506643269
1.1.12_腐烂或燃烧_2,4.894853159081779,2.1484763424289217,4.545454545454546,9.385650224215247,8.143333333333333,9.0,0.08671171171171173,0.04410173160173159,6.0894282698770255
1.1.12_腐烂或燃烧_3,5.136310575041011,2.172222115746753,5.411764705882353,9.048543689320388,7.986254295532646,8.00507614213198,0.10506798516687268,0.030929791271347252,6.189438982371507
