file_id,lexical_richness,syntactic_richness,semantic_accuracy_n,semantic_accuracy_v,semantic_accuracy_n_v,semantic_accuracy_c,semantic_richness_n,semantic_clarity_n,semantic_noise_n
三月七_0,5.115370484891684,2.1762180534641304,4.5,10.226744186046512,8.017857142857142,8.425742574257425,0.12996389891696758,0.04222222222222222,9.806616428239526
三月七_1,5.126094785221947,2.196429723955963,5.6923076923076925,10.049180327868852,8.90725806451613,9.15211970074813,0.07710557532621588,0.04267053701015963,12.721315383001869
三月七_10,5.120192688807095,2.182425845993805,3.27027027027027,8.856353591160222,7.235294117647059,7.928753180661578,0.08926417370325693,0.023591387998167658,6.161274698598325
三月七_11,5.1675220470140095,2.1390717322711583,5.526315789473684,9.21951219512195,8.05,8.158469945355192,0.09313725490196076,0.03596491228070174,9.745116489141484
三月七_12,5.201086437042873,2.152751865408138,4.131578947368421,9.46927374301676,7.87843137254902,8.33756345177665,0.09405940594059406,0.07392344497607656,16.449915888219326
三月七_13,5.173001132976525,2.186951597120344,4.36986301369863,9.119565217391305,7.770428015564202,8.541884816753926,0.08990147783251232,0.03784536800557233,10.21821941590085
三月七_14,5.124998865627226,2.2217215282632496,4.978260869565218,9.625766871165645,7.949019607843137,7.989556135770235,0.11165048543689317,0.059137803979366244,11.729602690544565
三月七_15,5.091284039237501,2.2328435772415287,4.963414634146342,9.901234567901234,8.241803278688524,8.561983471074381,0.10148514851485148,0.05677728908436626,15.477490155917831
三月七_16,5.232793893231351,2.2060500255149122,4.5,8.890052356020943,7.401384083044983,7.943488943488943,0.11850060459492139,0.03713151927437641,11.449710614552357
三月七_17,5.164798342610434,2.2018516340238965,5.288659793814433,9.320652173913043,7.9288256227758005,8.1,0.1133177570093458,0.0370536381293889,8.95389342384623
三月七_18,5.101973146315466,2.2243005626964774,5.166666666666667,10.544943820224718,8.66058394160584,8.7799511002445,0.11241217798594845,0.03856981981981983,13.173258381509777
三月七_19,4.989021883750692,2.2228895756093943,5.012658227848101,10.06842105263158,8.58364312267658,8.992105263157894,0.09143518518518522,0.054210236653824975,6.266139432444664
三月七_2,5.04487674454483,2.2208963623377356,4.589041095890411,8.908108108108108,7.686046511627907,8.23607427055703,0.08784596871239471,0.07548224769359797,16.31616891466113
三月七_20,5.211464805827265,2.206719062300033,4.754901960784314,9.210526315789474,7.654109589041096,7.974747474747475,0.12469437652811742,0.034935100800883724,9.061724763287534
三月七_21,5.175029554423766,2.21008613705959,4.578947368421052,10.948275862068966,8.427083333333334,8.788413098236775,0.13652694610778446,0.05684210526315788,15.09588029764775
三月七_22,5.239560762039522,2.196047718683099,3.425287356321839,10.037037037037036,7.7269076305220885,8.093582887700535,0.11447368421052637,0.020197044334975368,6.634620601062252
三月七_23,5.147056193986955,2.2031292688132873,4.524752475247524,9.259036144578314,7.468164794007491,7.876606683804627,0.1280101394169835,0.07125176803394626,10.262529217275413
三月七_24,5.091089634865085,2.119219962941809,4.811320754716981,8.958333333333334,7.354014598540146,7.540342298288508,0.12485276796230857,0.04309026007139215,11.924074424797551
三月七_3,4.919428400133022,2.126446321013902,4.605633802816901,9.18421052631579,7.726457399103139,8.59025787965616,0.08362779740871609,0.03633802816901409,6.511248029875868
三月七_4,5.138292841703013,2.1775925763115795,4.6103896103896105,8.674846625766872,7.370833333333334,7.9,0.09506172839506172,0.04854162231211411,15.4207920792079
三月七_5,5.254011581745368,2.1703966717817367,4.21505376344086,9.947976878612717,7.943609022556391,8.370277078085643,0.11355311355311351,0.060117302052785926,14.355414521884038
三月七_6,5.102775387819426,2.174827349941827,5.036585365853658,10.323699421965317,8.623529411764705,8.741379310344827,0.09681227863046042,0.0572977158343012,20.38891775147931
三月七_7,4.9664641244678265,2.171204534496245,4.551282051282051,8.878787878787879,7.655797101449275,8.04935064935065,0.0933014354066986,0.06846699399890892,7.977207607676233
三月七_8,5.193352302772329,2.1653563142319148,4.577319587628866,8.8,7.174603174603175,7.807262569832402,0.12140175219023783,0.0788946162657503,42.62105075256599
三月七_9,5.172795677245474,2.1342037797054294,3.7733333333333334,9.916167664670658,8.012396694214877,8.53168044077135,0.09146341463414634,0.09000000000000004,41.029565324215305
丹恒_0,5.069559585177527,2.244462247679176,3.1203703703703702,9.087628865979381,6.953642384105961,7.0557029177718835,0.14136125654450257,0.06862745098039218,16.884060166830785
丹恒_1,5.139947295145786,2.2163301062883076,4.618181818181818,8.822857142857142,7.2,7.291666666666667,0.14102564102564102,0.024598930481283428,7.7614668122331105
丹恒_2,5.166990535078225,2.194253181287153,3.7444444444444445,8.142045454545455,6.654135338345864,7.227154046997389,0.12244897959183672,0.040404040404040394,10.129327781082688
丹恒_3,5.157495549141954,2.2178569892276516,4.626262626262626,9.609467455621301,7.768656716417911,7.833780160857909,0.13253012048192764,0.04611330698287221,11.406485379268075
丹恒_4,5.222666921209005,2.2201946765816394,4.185567010309279,7.697368421052632,6.329317269076305,6.389221556886228,0.13604488078541374,0.03765750286368843,12.05264486807221
丹恒_5,5.112666513367804,2.17536045906016,4.35632183908046,7.955056179775281,6.773584905660377,7.110526315789474,0.11477572559366755,0.020593869731800767,7.154132308264614
丹恒_6,5.2136683574312155,2.189815923182512,3.981132075471698,8.694915254237289,6.929328621908128,6.928934010152284,0.1450068399452804,0.06327657616198804,36.1539094806632
丹恒_7,5.1613653626529565,2.2166145198324765,4.360824742268041,9.127906976744185,7.408921933085502,7.39247311827957,0.1206467661691542,0.05787923416789394,20.915521118802907
丹恒_8,5.152585607920674,2.2198912647879894,3.8333333333333335,7.841584158415841,6.3478260869565215,6.464373464373464,0.14527845036319614,0.04567510548523204,12.107425462213454
停云_0,5.382886753748184,2.2426467497418345,3.5945945945945947,8.162921348314606,6.408304498269896,6.598445595854923,0.15226337448559676,0.042289348171701116,15.794103651786898
停云_1,5.231905007218058,2.2186375771096687,3.2857142857142856,8.25609756097561,6.166077738515901,6.771356783919598,0.15637319316688578,0.05423987776928953,14.969397086681033
停云_2,5.283940662988389,2.2102522636039117,3.5416666666666665,7.636363636363637,5.976351351351352,6.3921052631578945,0.16194331983805668,0.04758064516129031,25.629702467141914
停云_3,5.297559928286647,2.224967609710209,4.0588235294117645,9.033333333333333,7.407051282051282,7.469586374695864,0.13350785340314128,0.027587779297765614,16.467136310178027
停云_4,5.294035788658057,2.2320071235092644,4.424242424242424,7.545454545454546,6.375,6.983957219251337,0.13270777479892765,0.09702660406885762,34.161178853087335
克拉拉_0,4.892725718534912,2.210411690417546,6.510204081632653,9.402439024390244,8.320610687022901,8.36096256684492,0.12677878395860284,0.16239687364307417,26.156421847065456
克拉拉_1,4.970042001196965,2.1954840390713275,6.4021739130434785,9.677966101694915,8.557620817843866,8.2171581769437,0.12057667103538659,0.16394927536231882,34.756371266530074
公输师傅_0,5.236438954599385,2.2261422090832252,3.5272727272727273,7.578651685393258,6.03125,6.498666666666667,0.14267185473411154,0.05047846889952153,13.604036069787856
公输师傅_1,5.356940549593655,2.2389901783975157,3.3207547169811322,7.6,5.894736842105263,6.326027397260274,0.14520547945205478,0.05384261389783709,21.388589353984894
加拉赫_0,5.127114490254449,2.2579628218235035,4.464285714285714,8.973118279569892,7.278523489932886,7.3554987212276215,0.14303959131545335,0.0412257495590829,14.500801752670634
加拉赫_1,5.133407554314128,2.2382717118143804,3.8584070796460175,8.534591194968554,6.591911764705882,6.5595854922279795,0.14694408322496752,0.041469438155999176,16.916419758959385
