file_id,lexical_richness,syntactic_richness,semantic_accuracy_n,semantic_accuracy_v,semantic_accuracy_n_v,semantic_accuracy_c,semantic_richness_n,semantic_clarity_n,semantic_noise_n
久岐忍_0,5.165730796021459,2.186401913434258,5.0,8.525714285714285,7.251824817518248,7.89311163895487,0.12390488110137676,0.12732963437188788,50.57698908093615
久岐忍_1,5.072921741798335,2.168025067973281,6.909090909090909,9.688888888888888,8.776119402985074,8.00244498777506,0.11027568922305764,0.11595547309833021,16.999914466518696
九条裟罗_0,5.05836060711389,2.2371019466010225,4.185185185185185,9.149425287356323,7.24822695035461,7.101827676240209,0.13516896120150187,0.08367003367003366,10.540651053010164
云堇_0,5.3108287665036,2.211100822148801,3.8125,8.0,6.2368421052631575,6.774436090225564,0.16452442159383032,0.04319324712643678,11.170701954548367
仆人_0,5.121639751438162,2.2300351679304313,5.08,8.075471698113208,6.918918918918919,6.918079096045198,0.13869625520110954,0.06412698412698412,13.124324385041914
仆人_1,5.159633986267225,2.2386192834234144,5.03,7.916129032258064,6.784313725490196,6.919220055710307,0.13351134846461946,0.053870967741935484,12.08369898805175
仆人_2,5.116853283074752,2.2040022036935283,5.457142857142857,9.091891891891892,7.775862068965517,7.511166253101737,0.13618677042801558,0.061484593837535004,10.671282068912484
克洛琳德_0,5.242622938445091,2.2147203592957294,4.643564356435643,9.47872340425532,7.788927335640138,8.03970223325062,0.13254593175853022,0.026783447575526784,7.755379808184721
八重神子_0,5.171857300730624,2.201572890014588,4.3861386138613865,8.195121951219512,6.743396226415094,7.238095238095238,0.1294871794871795,0.02609044688252609,7.706814405150297
八重神子_1,4.967204426153344,2.1931208351985796,4.322222222222222,8.783132530120483,7.21484375,7.4164305949008495,0.11826544021024969,0.05959595959595962,8.325150101273152
八重神子_2,5.082580739339178,2.193120972684739,4.485981308411215,8.654088050314465,6.977443609022556,7.124661246612466,0.13914174252275688,0.04114939322081184,9.987147317338714
八重神子_3,5.096996991937978,2.2123904951638416,4.366666666666666,7.842391304347826,6.700729927007299,6.911290322580645,0.11479591836734693,0.04999999999999998,8.858823529411765
八重神子_4,5.0429723970668325,2.187610550627034,4.443298969072165,8.93288590604027,7.162601626016261,7.168115942028986,0.1241997439180538,0.03487972508591065,4.469547664748065
公子_0,5.214834454722429,2.1859289820950694,4.126126126126126,8.142857142857142,6.544802867383512,6.863517060367454,0.14304123711340205,0.04155405405405406,11.83859079153445
公子_1,5.11403008113279,2.195461723780515,4.442477876106195,9.83108108108108,7.498084291187739,7.557065217391305,0.1435832274459975,0.04043911728464209,12.35160987629625
公子_2,5.1167325006426925,2.173090093702241,4.752688172043011,9.02116402116402,7.613475177304965,7.736572890025576,0.11802030456852795,0.04913151364764268,10.386675060058286
公子_3,5.175946439446662,2.201562272021161,3.67816091954023,9.543478260869565,7.275555555555556,7.286135693215339,0.11836734693877546,0.05404014410705095,17.98976265096114
公子_4,5.107013957366488,2.2091223619445874,5.406593406593407,9.634285714285713,8.18796992481203,7.832876712328767,0.1183355006501951,0.03770367563471011,5.670849781541375
凝光_0,5.200493506576706,2.210041829305247,3.970873786407767,9.968553459119496,7.6106870229007635,7.372159090909091,0.12907268170426064,0.03588546147228707,10.90232310112768
凝光_1,5.284079580767646,2.2037688289086708,4.5,7.362573099415204,6.217543859649123,6.244791666666667,0.14980289093298296,0.038932948810382124,8.281930191436127
凝光_2,5.133311916324572,2.237508334425944,4.744897959183674,9.44311377245509,7.70566037735849,7.84,0.12661498708010335,0.027658431793770148,8.19666682967382
凯亚_0,5.1498386965233545,2.1853741041054833,3.7413793103448274,8.214285714285714,6.292592592592593,6.844686648501362,0.15203145478374833,0.03995943204868155,15.686529838176185
凯亚_1,5.160748810558631,2.2029211668713438,3.705263157894737,8.08,6.383673469387755,7.005698005698005,0.1241830065359477,0.03834586466165415,9.68777107342695
凯瑟琳_0,5.100813068515169,2.1940989775567163,4.09375,9.349693251533742,7.401544401544402,7.745810055865922,0.1258191349934469,0.03645833333333334,6.173010380622839
北斗_0,4.839801767235403,2.169614202443683,4.020618556701031,9.323353293413174,7.375,7.829396325459317,0.12532299741602065,0.059746954076850996,5.156388150041632
北斗_1,5.028403485011026,2.21291287817904,3.4794520547945207,8.50326797385621,6.880530973451328,7.221238938053097,0.09505208333333333,0.03592659601964331,6.711283241893653
博士_0,5.133837522884371,2.2244018250114483,5.530864197530864,8.912568306010929,7.875,7.941326530612245,0.10371318822023048,0.056832694763729236,12.610902086531892
哲平_0,5.060875526046179,2.2117856679404,3.9148936170212765,10.335260115606937,8.074906367041198,8.279778393351801,0.12271540469973892,0.07820082120194101,15.686768412832635
哲平_1,5.1205965168956995,2.2224590529567534,3.6907216494845363,8.55151515151515,6.751908396946565,7.229333333333333,0.12340966921119596,0.03515294912962649,6.691758040804623
哲平_2,5.183524927271513,2.224225437515559,3.8369565217391304,9.372781065088757,7.421455938697318,8.342541436464089,0.12283044058744996,0.025934401220442407,3.530991987321433
坎蒂丝_0,5.1125318230128505,2.2033324793908267,4.152777777777778,8.419540229885058,7.170731707317073,7.446327683615819,0.09113924050632911,0.1453900709219858,26.81556790963629
埃德_0,5.041139364983439,2.2066598214799416,4.511627906976744,8.664739884393063,7.285714285714286,7.075418994413408,0.11286089238845148,0.030886627906976747,8.17422702330815
埃德_1,4.953230210354231,2.2296101843145864,4.901234567901234,9.594444444444445,8.137931034482758,8.157754010695188,0.09914320685434516,0.04610339506172839,14.557592937083447
埃德_2,4.933153711121274,2.1793918790225137,4.657534246575342,8.512345679012345,7.314893617021276,7.628169014084507,0.08816425120772947,0.03592659601964331,6.71575594943859
塞塔蕾_0,5.000411161832925,2.172285317074238,3.789473684210526,8.157575757575758,6.780082987551867,6.967479674796748,0.09547738693467339,0.07036613272311212,10.34608083659988
塞塔蕾_1,5.150274735574211,2.2065874440658906,4.326732673267327,8.919075144508671,7.226277372262774,6.963917525773196,0.1315104166666667,0.04425442544254425,8.922457476972935
夏洛蒂_0,5.082485561982278,2.1506796060977735,3.8230088495575223,9.021428571428572,6.699604743083004,7.209770114942529,0.15716272600834494,0.045553460031916446,7.77552769233776
多莉_0,5.0422288555854315,2.1518278379953473,3.8686868686868685,9.144927536231885,6.940928270042194,7.61271676300578,0.1299212598425197,0.12474747474747473,22.622057485987376
